t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_obstacles,number_of_active_edges
5.797612599999411,0.011856299999635667,1,MIQP_OPTIMAL,2,1,4
5.897662100003799,0.011393399996450171,1,MIQP_OPTIMAL,2,1,4
5.99775629999931,0.0171390000032261,1,MIQP_OPTIMAL,2,1,4
6.097760100004962,0.013638000003993511,1,MIQP_OPTIMAL,2,1,4
6.197606900008395,0.018658199987839907,1,MIQP_OPTIMAL,2,1,4
6.297621700010495,0.025532200001180172,1,MIQP_OPTIMAL,2,1,4
6.397613700013608,0.02137510001193732,1,MIQP_OPTIMAL,2,1,4
6.49762589999591,0.026771500008180737,1,MIQP_OPTIMAL,2,1,4
6.5976534000074025,0.025261900009354576,1,MIQP_OPTIMAL,2,1,4
6.69758120001643,0.03337029999238439,1,MIQP_OPTIMAL,2,1,4
6.797751200007042,0.013594600022770464,1,MIQP_OPTIMAL,2,1,4
6.897670800011838,0.010392099997261539,1,MIQP_OPTIMAL,2,1,4
6.964310100011062,0.014189600013196468,1,MIQP_OPTIMAL,2,1,4
7.064335000002757,0.009791399992536753,1,MIQP_OPTIMAL,2,1,4
7.130987000011373,0.011367400002200156,1,MIQP_OPTIMAL,2,1,4
7.230984699999681,0.010130700014997274,1,MIQP_OPTIMAL,2,1,4
7.2976828000100795,0.009617499978048727,1,MIQP_OPTIMAL,2,1,4
7.364290199999232,0.009428200020920485,1,MIQP_OPTIMAL,2,1,4
7.431006900005741,0.008138000004692003,1,MIQP_OPTIMAL,2,1,4
7.4976409999944735,0.007098500005668029,1,MIQP_OPTIMAL,2,1,4
7.564298000012059,0.00872370001161471,1,MIQP_OPTIMAL,2,1,4
7.63100160000613,0.007721100002527237,1,MIQP_OPTIMAL,2,1,4
7.697649900015676,0.006786400015698746,1,MIQP_OPTIMAL,2,1,4
7.764290199993411,0.008477600000333041,1,MIQP_OPTIMAL,2,1,4
7.864312799996696,0.006349000002956018,1,MIQP_OPTIMAL,2,1,4
7.930964400002267,0.006187399994814768,1,MIQP_OPTIMAL,2,1,4
7.997636900021462,0.00779169998713769,1,MIQP_OPTIMAL,2,1,4
8.064277600002242,0.007617099996423349,1,MIQP_OPTIMAL,2,1,4
8.130980400019325,0.00896659999853,1,MIQP_OPTIMAL,2,1,4
8.19764140000916,0.007905999984359369,1,MIQP_OPTIMAL,2,1,4
8.264313399995444,0.007264899992151186,1,MIQP_OPTIMAL,2,1,4
8.330972700001439,0.007055099995341152,1,MIQP_OPTIMAL,2,1,4
8.397638299997197,0.010201800003414974,1,MIQP_OPTIMAL,2,1,4
8.497747899993556,0.009680300019681454,1,MIQP_OPTIMAL,2,1,4
8.597777500021039,0.011269599985098466,1,MIQP_OPTIMAL,2,1,4
8.697783900017384,0.011358099989593029,1,MIQP_OPTIMAL,2,1,4
8.798013199993875,0.008445799991022795,1,MIQP_OPTIMAL,2,1,4
8.897642600000836,0.007654200016986579,1,MIQP_OPTIMAL,2,1,4
8.96430620001047,0.00937549999798648,1,MIQP_OPTIMAL,2,1,4
9.064516100013861,0.008196500013582408,1,MIQP_OPTIMAL,2,1,4
9.164531899994472,0.0068762000009883195,1,MIQP_OPTIMAL,2,1,4
9.230995499994606,0.008985300024505705,1,MIQP_OPTIMAL,2,1,4
9.331061800010502,0.009889000008115545,1,MIQP_OPTIMAL,2,1,4
9.431102300004568,0.009472800011280924,1,MIQP_OPTIMAL,2,1,4
9.530994000000646,0.006416499993065372,1,MIQP_OPTIMAL,2,1,4
9.597644199995557,0.006907100003445521,1,MIQP_OPTIMAL,2,1,4
9.66432780001196,0.007060100004309788,1,MIQP_OPTIMAL,2,1,4
9.730975500016939,0.007572400005301461,1,MIQP_OPTIMAL,2,1,4
9.797763400012627,0.007954100001370534,1,MIQP_OPTIMAL,2,1,4
9.864500700001372,0.008632399985799566,1,MIQP_OPTIMAL,2,1,4
9.964308900001924,0.00896819998160936,1,MIQP_OPTIMAL,2,1,4
10.031033900013426,0.006891400000313297,1,MIQP_OPTIMAL,2,1,4
10.097674000018742,0.006931399984750897,1,MIQP_OPTIMAL,2,1,4
10.16429230000358,0.006462499994086102,1,MIQP_OPTIMAL,2,1,4
10.230962500005262,0.007105199998477474,1,MIQP_OPTIMAL,2,1,4
10.297690700012026,0.0075505999848246574,1,MIQP_OPTIMAL,2,0,0
10.364282099995762,0.006641199986916035,1,MIQP_OPTIMAL,2,0,0
10.430988700012676,0.0063627999916207045,1,MIQP_OPTIMAL,2,0,0
10.497738900012337,0.007280499994521961,1,MIQP_OPTIMAL,2,0,0
10.564284000021871,0.007101900002453476,1,MIQP_OPTIMAL,2,0,0
10.630965699994704,0.006389899994246662,1,MIQP_OPTIMAL,2,0,0
10.697631999995792,0.006371399998897687,1,MIQP_OPTIMAL,2,0,0
10.764315300009912,0.006561500020325184,1,MIQP_OPTIMAL,2,0,0
10.830970200011507,0.0062271999777294695,1,MIQP_OPTIMAL,2,0,0
10.897646900004474,0.005850499990629032,1,MIQP_OPTIMAL,2,0,0
