t,solve_time,solver_success,solver_status,number_of_config_obstacles,number_of_active_edges,number_of_binary_variables
20.725599199999124,0.05996179999783635,1,MIQP_OPTIMAL,18,72,2160
20.89222229999723,0.0519884999957867,1,MIQP_OPTIMAL,18,72,2160
21.058906999998726,0.056055799999739975,1,MIQP_OPTIMAL,18,72,2160
21.22558729996672,0.061801499978173524,1,MIQP_OPTIMAL,18,72,2160
21.392240799963474,0.062276799988467246,1,MIQP_OPTIMAL,18,72,2160
21.592219799989834,0.05302200000733137,1,MIQP_OPTIMAL,18,72,2160
21.75903149996884,0.05580360000021756,1,MIQP_OPTIMAL,18,72,2160
21.925567199999932,0.05407820001710206,1,MIQP_OPTIMAL,18,72,2160
22.092285499966238,0.06025709997629747,1,MIQP_OPTIMAL,18,72,2160
22.292508999991696,0.050127799971960485,1,MIQP_OPTIMAL,18,72,2160
22.45897929999046,0.062171900004614145,1,MIQP_OPTIMAL,18,72,2160
22.658894899999723,0.05221579998033121,1,MIQP_OPTIMAL,18,72,2160
22.825593399989884,0.05790000001434237,1,MIQP_OPTIMAL,18,72,2160
22.992236299964134,0.058334400004241616,1,MIQP_OPTIMAL,18,72,2160
23.15892839996377,0.059300700027961284,1,MIQP_OPTIMAL,18,72,2160
23.325623799988534,0.05501819995697588,1,MIQP_OPTIMAL,18,72,2160
23.492422899988014,0.0560715000028722,1,MIQP_OPTIMAL,18,72,2160
23.658916799991857,0.06974390003597364,1,MIQP_OPTIMAL,18,72,2160
23.859002899960615,0.0518887999933213,1,MIQP_OPTIMAL,18,72,2160
24.026026499981526,0.06702529999893159,1,MIQP_OPTIMAL,18,72,2160
24.22572599997511,0.05976380000356585,1,MIQP_OPTIMAL,18,72,2160
24.3923229999491,0.05561300000408664,1,MIQP_OPTIMAL,18,72,2160
24.592437299957965,0.05103679996682331,1,MIQP_OPTIMAL,18,72,2160
24.758908199961297,0.052088199998252094,1,MIQP_OPTIMAL,18,72,2160
24.925804899947252,0.05239399999845773,1,MIQP_OPTIMAL,18,72,2160
25.09222890000092,0.05422260001068935,1,MIQP_OPTIMAL,18,72,2160
25.259087899990845,0.06563299999106675,1,MIQP_OPTIMAL,18,72,2160
25.458944199956022,0.05233480001334101,1,MIQP_OPTIMAL,18,72,2160
25.625562299974263,0.055767100013326854,1,MIQP_OPTIMAL,18,72,2160
25.792270499980077,0.05322790000354871,1,MIQP_OPTIMAL,18,72,2160
25.958889499946963,0.05006739997770637,1,MIQP_OPTIMAL,18,72,2160
26.12565339996945,0.05343249998986721,1,MIQP_OPTIMAL,18,72,2160
26.292234599997755,0.05786000000080094,1,MIQP_OPTIMAL,18,72,2160
26.45890899997903,0.0577396999578923,1,MIQP_OPTIMAL,18,72,2160
26.625588199996855,0.05374179995851591,1,MIQP_OPTIMAL,18,72,2160
26.792220899951644,0.05417299998225644,1,MIQP_OPTIMAL,18,72,2160
26.959050499950536,0.05401319998782128,1,MIQP_OPTIMAL,18,72,2160
27.12565129995346,0.05212130001746118,1,MIQP_OPTIMAL,18,72,2160
27.29228839999996,0.14840250002453104,1,MIQP_OPTIMAL,18,72,2160
27.55895999999484,0.11095339996973053,1,MIQP_OPTIMAL,18,72,2160
27.79233430000022,0.18209910002769902,1,MIQP_OPTIMAL,18,72,2160
28.092300099960994,0.11528179998276755,1,MIQP_OPTIMAL,18,72,2160
28.325687799951993,0.1939360999967903,1,MIQP_OPTIMAL,18,72,2160
28.625843299960252,0.1667505000368692,1,MIQP_OPTIMAL,18,72,2160
28.92571699997643,0.05178199999500066,1,MIQP_OPTIMAL,18,72,2160
29.092306399950758,0.054603700002189726,1,MIQP_OPTIMAL,18,72,2160
29.25905579997925,0.057707700005266815,1,MIQP_OPTIMAL,18,72,2160
29.425843399949372,0.06387030001496896,1,MIQP_OPTIMAL,18,72,2160
29.59232269995846,0.06435770000098273,1,MIQP_OPTIMAL,18,72,2160
29.792324399983045,0.05886310001369566,1,MIQP_OPTIMAL,18,72,2160
29.95901239995146,0.05917960003716871,1,MIQP_OPTIMAL,18,72,2160
30.125646899978165,0.05701619997853413,1,MIQP_OPTIMAL,18,72,2160
30.292322899971623,0.0662593999877572,1,MIQP_OPTIMAL,18,72,2160
30.492375699977856,0.07270249997964129,1,MIQP_OPTIMAL,18,72,2160
30.692406799993478,0.06428250001044944,1,MIQP_OPTIMAL,18,72,2160
30.858987499959767,0.07998979999683797,1,MIQP_OPTIMAL,18,72,2160
31.09240579995094,0.06600400002207607,1,MIQP_OPTIMAL,18,72,2160
31.258987999986857,0.06703289999859408,1,MIQP_OPTIMAL,18,72,2160
