t,x,y,theta,v,phi,phi_dot
8.800000000000000044e-01,-3.849667932305648854e+00,-1.129215631587320523e+00,-3.812239284150503171e-01,3.477819938691682489e-01,-1.093501447040782408e-03,-8.840602450332839084e-04
9.000000000000000222e-01,-3.843212600042874350e+00,-1.131803250535990069e+00,-3.812537283852927561e-01,3.476821508160232721e-01,-1.111029374795566901e-03,-8.687400293543273526e-04
9.200000000000000400e-01,-3.836759218483500877e+00,-1.134390312490906272e+00,-3.812839892957037291e-01,3.475802059523519505e-01,-1.128251342755036846e-03,-8.534639950569900902e-04
9.400000000000000577e-01,-3.830307827729494186e+00,-1.136976804662880536e+00,-3.813147024333384816e-01,3.474761654135410938e-01,-1.145168218356747191e-03,-8.382305249541213265e-04
9.600000000000000755e-01,-3.823858467744271739e+00,-1.139562714245955899e+00,-3.813458591077794058e-01,3.473700353283194486e-01,-1.161780836802764078e-03,-8.230380126345833783e-04
9.799999999999999822e-01,-3.817411178352871470e+00,-1.142148028417483419e+00,-3.813774506505695494e-01,3.472618218187457084e-01,-1.178090001272208811e-03,-8.078848621662012034e-04
1.000000000000000000e+00,-3.810965999242120095e+00,-1.144732734338188784e+00,-3.814094684146514536e-01,3.471515310001946908e-01,-1.194096483127908949e-03,-7.927694878024112287e-04
1.020000000000000018e+00,-3.804522969960802747e+00,-1.147316819152249145e+00,-3.814419037738089324e-01,3.470391689813464020e-01,-1.209801022117194293e-03,-7.776903136924611564e-04
1.040000000000000036e+00,-3.798082129919826855e+00,-1.149900269987361501e+00,-3.814747481221131276e-01,3.469247418641729364e-01,-1.225204326566952870e-03,-7.626457735951158636e-04
1.060000000000000053e+00,-3.791643518392396661e+00,-1.152483073954817527e+00,-3.815079928733725589e-01,3.468082557439274294e-01,-1.240307073572976876e-03,-7.476343105957604330e-04
1.080000000000000071e+00,-3.785207174514176653e+00,-1.155065218149574191e+00,-3.815416294605873948e-01,3.466897167091329002e-01,-1.255109909183704147e-03,-7.326543768268135772e-04
1.100000000000000089e+00,-3.778773137283464312e+00,-1.157646689650324356e+00,-3.815756493354066636e-01,3.465691308415705385e-01,-1.269613448578381853e-03,-7.177044331913781661e-04
1.120000000000000107e+00,-3.772341445561353535e+00,-1.160227475519573392e+00,-3.816100439675902956e-01,3.464465042162694353e-01,-1.283818276239757136e-03,-7.027829490900361570e-04
1.140000000000000124e+00,-3.765912138071905613e+00,-1.162807562803705785e+00,-3.816448048444726626e-01,3.463218429014961464e-01,-1.297724946121296425e-03,-6.878884021506821104e-04
1.160000000000000142e+00,-3.759485253402319316e+00,-1.165386938533060190e+00,-3.816799234704325583e-01,3.461951529587445342e-01,-1.311333981809076994e-03,-6.730192779613771836e-04
1.179999999999999938e+00,-3.753060830003096093e+00,-1.167965589722001374e+00,-3.817153913663638432e-01,3.460664404427257201e-01,-1.324645876678323632e-03,-6.581740698060660694e-04
1.199999999999999956e+00,-3.746638906188210605e+00,-1.170543503368991489e+00,-3.817512000691522522e-01,3.459357114013585921e-01,-1.337661094044740717e-03,-6.433512784031511327e-04
1.219999999999999973e+00,-3.740219520135275921e+00,-1.173120666456662242e+00,-3.817873411311518139e-01,3.458029718757608673e-01,-1.350380067310557501e-03,-6.285494116467740160e-04
1.239999999999999991e+00,-3.733802709885717608e+00,-1.175697065951886611e+00,-3.818238061196689292e-01,3.456682279002395441e-01,-1.362803200105532075e-03,-6.137669843508102453e-04
1.260000000000000009e+00,-3.727388513344935816e+00,-1.178272688805852786e+00,-3.818605866164456186e-01,3.455314855022829090e-01,-1.374930866422770237e-03,-5.990025179954132275e-04
1.280000000000000027e+00,-3.720976968282478481e+00,-1.180847521954132784e+00,-3.818976742171486527e-01,3.453927507025514321e-01,-1.386763410749552268e-03,-5.842545404761255315e-04
1.300000000000000044e+00,-3.714568112332206073e+00,-1.183421552316757719e+00,-3.819350605308601820e-01,3.452520295148700513e-01,-1.398301148193154377e-03,-5.695215858554042530e-04
1.320000000000000062e+00,-3.708161982992463024e+00,-1.185994766798288413e+00,-3.819727371795723081e-01,3.451093279462202346e-01,-1.409544364601716861e-03,-5.548021941165483207e-04
1.340000000000000080e+00,-3.701758617626243808e+00,-1.188567152287886675e+00,-3.820106957976833195e-01,3.449646519967322078e-01,-1.420493316680222513e-03,-5.400949109199214932e-04
1.360000000000000098e+00,-3.695358053461362147e+00,-1.191138695659388791e+00,-3.820489280314981473e-01,3.448180076596781829e-01,-1.431148232101613462e-03,-5.253982873614234479e-04
1.380000000000000115e+00,-3.688960327590619759e+00,-1.193709383771377031e+00,-3.820874255387307072e-01,3.446694009214644749e-01,-1.441509309613115417e-03,-5.107108797331331778e-04
1.400000000000000133e+00,-3.682565476971973339e+00,-1.196279203467250918e+00,-3.821261799880089072e-01,3.445188377616259512e-01,-1.451576719137764090e-03,-4.960312492860515128e-04
1.420000000000000151e+00,-3.676173538428705534e+00,-1.198848141575301174e+00,-3.821651830583831511e-01,3.443663241528180929e-01,-1.461350601871263047e-03,-4.813579619948956550e-04
1.439999999999999947e+00,-3.669784548649590583e+00,-1.201416184908778995e+00,-3.822044264388366197e-01,3.442118660608117220e-01,-1.470831070374088419e-03,-4.666895883248674509e-04
1.459999999999999964e+00,-3.663398544189063966e+00,-1.203983320265970436e+00,-3.822439018277977718e-01,3.440554694444871719e-01,-1.480018208659000930e-03,-4.520247030003178785e-04
1.479999999999999982e+00,-3.657015561467390707e+00,-1.206549534430267689e+00,-3.822836009326562312e-01,3.438971402558277379e-01,-1.488912072273920143e-03,-4.373618847752834093e-04
1.500000000000000000e+00,-3.650635636770833248e+00,-1.209114814170240138e+00,-3.823235154692808391e-01,3.437368844399150136e-01,-1.497512688380252862e-03,-4.226997162058019806e-04
1.520000000000000018e+00,-3.644258806251820637e+00,-1.211679146239708293e+00,-3.823636371615394824e-01,3.435747079349234512e-01,-1.505820055826660947e-03,-4.080367834239505710e-04
1.540000000000000036e+00,-3.637885105929116403e+00,-1.214242517377813968e+00,-3.824039577408211987e-01,3.434106166721151987e-01,-1.513834145218327090e-03,-3.933716759135526112e-04
1.560000000000000053e+00,-3.631514571687986415e+00,-1.216804914309093322e+00,-3.824444689455617774e-01,3.432446165758359369e-01,-1.521554898981785330e-03,-3.787029862874980910e-04
1.580000000000000071e+00,-3.625147239280367195e+00,-1.219366323743549030e+00,-3.824851625207693617e-01,3.430767135635098830e-01,-1.528982231425263412e-03,-3.640293100666005762e-04
1.600000000000000089e+00,-3.618783144325037782e+00,-1.221926732376721114e+00,-3.825260302175545468e-01,3.429069135456362938e-01,-1.536116028794660146e-03,-3.493492454599644663e-04
1.620000000000000107e+00,-3.612422322307781819e+00,-1.224486126889760662e+00,-3.825670637926603113e-01,3.427352224257849134e-01,-1.542956149325115916e-03,-3.346613931467585156e-04
1.640000000000000124e+00,-3.606064808581560310e+00,-1.227044493949500881e+00,-3.826082550079952793e-01,3.425616461005928093e-01,-1.549502423288250065e-03,-3.199643560594009860e-04
1.660000000000000142e+00,-3.599710638366680371e+00,-1.229601820208527929e+00,-3.826495956301688151e-01,3.423861904597606531e-01,-1.555754653035059960e-03,-3.052567391680329400e-04
1.680000000000000160e+00,-3.593359846750959541e+00,-1.232158092305257080e+00,-3.826910774300271711e-01,3.422088613860496120e-01,-1.561712613034544391e-03,-2.905371492662802715e-04
1.699999999999999956e+00,-3.587012468689898093e+00,-1.234713296863998666e+00,-3.827326921821920802e-01,3.420296647552788505e-01,-1.567376049908025511e-03,-2.758041947582301500e-04
1.719999999999999973e+00,-3.580668539006847784e+00,-1.237267420495035353e+00,-3.827744316646015110e-01,3.418486064363221999e-01,-1.572744682459250405e-03,-2.610564854465520588e-04
1.739999999999999991e+00,-3.574328092393175282e+00,-1.239820449794691859e+00,-3.828162876580510909e-01,3.416656922911059935e-01,-1.577818201700250181e-03,-2.462926323217353428e-04
1.760000000000000009e+00,-3.567991163408434918e+00,-1.242372371345406679e+00,-3.828582519457376931e-01,3.414809281746074565e-01,-1.582596270872983681e-03,-2.315112473523803043e-04
1.780000000000000027e+00,-3.561657786480536991e+00,-1.244923171715805799e+00,-3.829003163128049669e-01,3.412943199348516532e-01,-1.587078525466842794e-03,-2.167109432764922385e-04
1.800000000000000044e+00,-3.555327995905913863e+00,-1.247472837460771977e+00,-3.829424725458897005e-01,3.411058734129107095e-01,-1.591264573231923087e-03,-2.018903333937189972e-04
1.820000000000000062e+00,-3.549001825849690483e+00,-1.250021355121520239e+00,-3.829847124326701269e-01,3.409155944429021479e-01,-1.595153994188211553e-03,-1.870480313584987940e-04
1.840000000000000080e+00,-3.542679310345849597e+00,-1.252568711225667597e+00,-3.830270277614156171e-01,3.407234888519874993e-01,-1.598746340630614058e-03,-1.721826509740508678e-04
1.860000000000000098e+00,-3.536360483297404489e+00,-1.255114892287304107e+00,-3.830694103205378176e-01,3.405295624603711380e-01,-1.602041137129883198e-03,-1.572928059871747718e-04
1.880000000000000115e+00,-3.530045378476563300e+00,-1.257659884807068806e+00,-3.831118518981427301e-01,3.403338210813002807e-01,-1.605037880529426629e-03,-1.423771098837920703e-04
1.900000000000000133e+00,-3.523734029524900890e+00,-1.260203675272217438e+00,-3.831543442815845690e-01,3.401362705210635440e-01,-1.607736039938079120e-03,-1.274341756851964254e-04
1.920000000000000151e+00,-3.517426469953524926e+00,-1.262746250156697281e+00,-3.831968792570202287e-01,3.399369165789914438e-01,-1.610135056718748790e-03,-1.124626157449508038e-04
1.939999999999999947e+00,-3.511122733143243746e+00,-1.265287595921218200e+00,-3.832394486089660823e-01,3.397357650474558954e-01,-1.612234344473059602e-03,-9.746104154640813997e-05
1.959999999999999964e+00,-3.504822852344736006e+00,-1.267827699013323484e+00,-3.832820441198543926e-01,3.395328217118704361e-01,-1.614033289021909665e-03,-8.242806350076592914e-05
1.979999999999999982e+00,-3.498526860678720762e+00,-1.270366545867465335e+00,-3.833246575695918312e-01,3.393280923506911129e-01,-1.615531248382023628e-03,-6.736229074565228169e-05
2.000000000000000000e+00,-3.492234791136121341e+00,-1.272904122905073043e+00,-3.833672807351187761e-01,3.391215827354164825e-01,-1.616727552738466420e-03,-5.226233094417313672e-05
