t,segment,x,y,theta,varphi,v,omega_s,xd,yd,xdd,ydd,xddd,yddd,kappa
4.600000000000000200e-01,0.000000000000000000e+00,-4.600336223349843490e-02,6.137395642014713444e-03,3.008960229122449981e+00,1.017531555544097825e-03,1.009179387777424108e-01,1.109462683136111516e-02,-1.000315973538843384e-01,1.334578202948503815e-02,-2.111399927983637276e-04,-1.247125992163435241e-05,-8.905902443784591152e-04,-3.245565744747066703e-04,3.955420434279042705e-03
4.799999999999999822e-01,0.000000000000000000e+00,-4.800403760657428326e-02,6.404308348165249284e-03,3.008969100539262698e+00,1.246023956218607950e-03,1.009222613697587784e-01,1.175232540663678771e-02,-1.000360003785971258e-01,1.334546620539058849e-02,-2.292672225250517830e-04,-1.918517020248328888e-05,-9.220135478786829156e-04,-3.467628294547119168e-04,4.843633045939152622e-03
5.000000000000000000e-01,0.000000000000000000e+00,-5.000480470725011950e-02,6.671213365586551106e-03,3.008979816449262934e+00,1.487533214884581567e-03,1.009269311749140946e-01,1.239632041867173851e-02,-1.000407721849842363e-01,1.334501169043817749e-02,-2.480157857344119721e-04,-2.633891833609833201e-05,-9.527245039826653418e-04,-3.685408695926773717e-04,5.782446305414077822e-03
5.200000000000000178e-01,0.000000000000000000e+00,-5.200567103447809036e-02,6.938107833063815628e-03,3.008992478128698522e+00,1.741785725270570415e-03,1.009319592241770674e-01,1.302665825703641644e-02,-1.000459250576100773e-01,1.334440977330992109e-02,-2.673714901055997389e-04,-3.392397058778353182e-05,-9.827285727414547273e-04,-3.898937496862506756e-04,6.770796838455667675e-03
5.400000000000000355e-01,0.000000000000000000e+00,-5.400664433007051207e-02,7.204988716858562806e-03,3.009007184747404473e+00,2.008508802811489156e-03,1.009373562923512602e-01,1.364338472767918399e-02,-1.000514709982835149e-01,1.334365191275222601e-02,-2.873202523593725282e-04,-4.193185423378559794e-05,-1.012031198264188745e-03,-4.108245160320366635e-04,7.807624892760855681e-03
5.600000000000000533e-01,0.000000000000000000e+00,-5.600773257306650155e-02,7.471852814097736453e-03,3.009024033378604912e+00,2.287430674452934926e-03,1.009431329002597882e-01,1.424654519979579731e-02,-1.000574217282358264e-01,1.334272973635730435e-02,-3.078480979392512703e-04,-5.035415739127270301e-05,-1.040637808718095818e-03,-4.313362064255980149e-04,8.891874301259202612e-03
5.799999999999999600e-01,0.000000000000000000e+00,-5.800894397414203818e-02,7.738696756138445029e-03,3.009043119008655509e+00,2.578280471344530748e-03,1.009492993169268382e-01,1.483618474786423287e-02,-1.000637886902915885e-01,1.334163503934802410e-02,-3.289411606926821632e-04,-5.918252884831384526e-05,-1.068553816328493599e-03,-4.514318501614548746e-04,1.002249245646444527e-02
5.999999999999999778e-01,0.000000000000000000e+00,-6.001028697006362267e-02,8.005517011908460517e-03,3.009064534546739722e+00,2.880788224325941081e-03,1.009558655617565914e-01,1.541234828888397163e-02,-1.000705830510336125e-01,1.334035978336618918e-02,-3.505856825521994850e-04,-6.840867789385845143e-05,-1.095784617378789839e-03,-4.711144680330850150e-04,1.119843029549478369e-02
6.199999999999999956e-01,0.000000000000000000e+00,-6.201177021818503332e-02,8.272309891222510980e-03,3.009088370834529513e+00,3.194684862109964732e-03,1.009628414067088586e-01,1.597508071485844588e-02,-1.000778157029618004e-01,1.333889609526424901e-02,-3.727680132165858587e-04,-7.802437414771451626e-05,-1.122335592210484774e-03,-4.903870723329241616e-04,1.241864229537158713e-02
6.400000000000000133e-01,0.000000000000000000e+00,-6.401340259098708962e-02,8.539071548074438772e-03,3.009114716655829191e+00,3.519702212068139078e-03,1.009702363784695522e-01,1.652442702055871224e-02,-1.000854972666448267e-01,1.333723626590035613e-02,-3.954746098320347392e-04,-8.802144739052855779e-05,-1.148212105223164617e-03,-5.092526668523649630e-04,1.368208647821222979e-02
6.600000000000000311e-01,0.000000000000000000e+00,-6.601519317066056880e-02,8.805797983905280790e-03,3.009143658746213479e+00,3.855573003524664227e-03,1.009780597606170643e-01,1.706043242660560191e-02,-1.000936380928661440e-01,1.333537274893684815e-02,-4.186920366733127923e-04,-9.839178739376461063e-05,-1.173419504874508067e-03,-5.277142468817577498e-04,1.498772442593616049e-02
6.800000000000000488e-01,0.000000000000000000e+00,-6.801715124373190757e-02,9.072485050847392193e-03,3.009175281802669133e+00,4.202030873465472521e-03,1.009863205957829829e-01,1.758314249790753417e-02,-1.001022482647634937e-01,1.333329815964217312e-02,-4.424069648249207010e-04,-1.091273437496830700e-04,-1.197963123680284136e-03,-5.457747992104109141e-04,1.633452130410916955e-02
7.000000000000000666e-01,0.000000000000000000e+00,-7.001928629573164753e-02,9.339128454944578897e-03,3.009209668493254775e+00,4.558810374569965268e-03,1.009950276878064240e-01,1.809260325749111747e-02,-1.001113375999615335e-01,1.333100527369611259e-02,-4.666061718622554902e-04,-1.202201257013203490e-04,-1.221848278214351068e-03,-5.634373021265902046e-04,1.772144589455535574e-02
7.199999999999999734e-01,0.000000000000000000e+00,-7.202160800590534651e-02,9.605723759348438334e-03,3.009246899466793579e+00,4.925646985473555728e-03,1.010041896038823134e-01,1.858886129576127477e-02,-1.001209156526986499e-01,1.332848702599850020e-02,-4.912765415327723095e-04,-1.316622019724674787e-04,-1.245080269108656337e-03,-5.807047254175186184e-04,1.914747063637043528e-02
7.399999999999999911e-01,0.000000000000000000e+00,-7.402412624196727520e-02,9.872266387490866851e-03,3.009287053362602382e+00,5.302277123169977895e-03,1.010138146767029510e-01,1.907196387522792913e-02,-1.001309917159475954e-01,1.332573650948132640e-02,-5.164050634371461068e-04,-1.434457005976496843e-04,-1.267664381053239470e-03,-5.975800303693770514e-04,2.061157167497500511e-02
7.600000000000000089e-01,0.000000000000000000e+00,-7.602685105489592754e-02,1.013875162623283609e-02,3.009330206820273634e+00,5.688438157463254763e-03,1.010239110065908191e-01,1.954195903073731311e-02,-1.001415748235285896e-01,1.332274697392417384e-02,-5.419788327104339528e-04,-1.555628087521054186e-04,-1.289605882796229222e-03,-6.140661697673041900e-04,2.211272891885167347e-02
7.800000000000000266e-01,0.000000000000000000e+00,-7.802979267377241346e-02,1.040517462898954068e-02,3.009376434489517305e+00,6.083868427379465239e-03,1.010344864636247841e-01,1.999889566524482715e-02,-1.001526737522174665e-01,1.331951182477313957e-02,-5.679850497032353602e-04,-1.680057725817653692e-04,-1.310910027143842279e-03,-6.301660878953956437e-04,2.364992610361245709e-02
8.000000000000000444e-01,0.000000000000000000e+00,-8.003296150066041559e-02,1.067153041883196415e-02,3.009425809040072952e+00,6.488307259449834462e-03,1.010455486897571808e-01,2.044282364116855460e-02,-1.001642970238465769e-01,1.331602462196311912e-02,-5.944110196628565055e-04,-1.807668970332319120e-04,-1.331582050960389329e-03,-6.458827205367054626e-04,2.522215086304986295e-02
8.200000000000000622e-01,0.000000000000000000e+00,-8.203636810552822345e-02,1.093781389156486469e-02,3.009478401171703510e+00,6.901494987776985411e-03,1.010571051009219040e-01,2.087379386736224959e-02,-1.001764529073994742e-01,1.331227907874347853e-02,-6.212441524144692463e-04,-1.938385456837576979e-04,-1.351627175168268772e-03,-6.612189949732446203e-04,2.682839480682780095e-02
8.399999999999999689e-01,0.000000000000000000e+00,-8.404002322121262303e-02,1.120401981878136992e-02,3.009534279624273001e+00,7.323172975797181961e-03,1.010691628891334931e-01,2.129185838174774137e-02,-1.001891494210992162e-01,1.330826906050714027e-02,-6.484719620422753437e-04,-2.072131405712254325e-04,-1.371050604747967592e-03,-6.761778299859815553e-04,2.846765360447368193e-02
8.599999999999999867e-01,0.000000000000000000e+00,-8.604393773842487769e-02,1.147014285089420320e-02,3.009593511187924175e+00,7.753083639652103877e-03,1.010817290245767663e-01,2.169707042964721597e-02,-1.002023943344907825e-01,1.330398858362310394e-02,-6.760820665706665641e-04,-2.208831620241268143e-04,-1.389857528738066119e-03,-6.907621358548428217e-04,3.013892707533727747e-02
8.800000000000000044e-01,0.000000000000000000e+00,-8.804812270079750980e-02,1.173617752014348772e-02,3.009656160713356954e+00,8.190970473084729919e-03,1.010948102576856023e-01,2.208948453785793478e-02,-1.002161951705161091e-01,1.329943181427229587e-02,-7.040621876453877085e-04,-2.348411484915415557e-04,-1.408053120235233050e-03,-7.049748143587126559e-04,3.184121928418724712e-02
9.000000000000000222e-01,0.000000000000000000e+00,-9.005258929997302098e-02,1.200211824358141804e-02,3.009722291122222337e+00,8.636578073774374420e-03,1.011084131212120485e-01,2.246915658451116224e-02,-1.002305592075836554e-01,1.329459306728685182e-02,-7.324001502146973647e-04,-2.490796963731167551e-04,-1.425642536394226313e-03,-7.188187587754320002e-04,3.357353864211930217e-02
9.200000000000000400e-01,0.000000000000000000e+00,-9.205734887073413475e-02,1.226795932603371928e-02,3.009791963417627336e+00,9.089652171027145719e-03,1.011225439322844671e-01,2.283614386476019720e-02,-1.002454934816313509e-01,1.328946680499287249e-02,-7.610838822105308286e-04,-2.635914598490457549e-04,-1.442630918427895235e-03,-7.322968538818003465e-04,3.533489801245599110e-02
9.400000000000000577e-01,0.000000000000000000e+00,-9.406241288617463170e-02,1.253369496303792519e-02,3.009865236694774016e+00,9.549939654738876307e-03,1.011372087944542864e-01,2.319050515234238885e-02,-1.002610047881828531e-01,1.328404763605642823e-02,-7.901014142296600975e-04,-2.783691507100473513e-04,-1.459023391607179240e-03,-7.454119759535738927e-04,3.712431482132212690e-02
9.599999999999999645e-01,0.000000000000000000e+00,-9.606779295291170695e-02,1.279931924375871631e-02,3.009942168151718889e+00,1.001718860554841155e-02,1.011524135997315665e-01,2.353230075706175609e-02,-1.002770996843976442e-01,1.327833031433308698e-02,-8.194408792148576582e-04,-2.934055381873450045e-04,-1.474825065261105685e-03,-7.581669927654671693e-04,3.894081117258441083e-02
9.799999999999999822e-01,0.000000000000000000e+00,-9.807350080633925327e-02,1.306482615388022961e-02,3.010022813100276640e+00,1.049114832610008145e-02,1.011681640306091173e-01,2.386159257823996377e-02,-1.002937844911150622e-01,1.327230973772083010e-02,-8.490905121360584323e-04,-3.086934487826469161e-04,-1.490041032776794842e-03,-7.705647635911519553e-04,4.078341396684834197e-02
1.000000000000000000e+00,0.000000000000000000e+00,-1.000795483059216673e-01,1.333020957847543680e-02,3.010107224977061069e+00,1.097156937333535268e-02,1.011844655620740829e-01,2.417844415418550844e-02,-1.003110652948913523e-01,1.326598094701630405e-02,-8.790386496715190106e-04,-3.242257660981232872e-04,-1.504676371599456214e-03,-7.826081392032580367e-04,4.265115502421095578e-02
1.020000000000000018e+00,0.000000000000000000e+00,-1.020859474305285119e-01,1.359546330485271633e-02,3.010195455354673033e+00,1.145820359173448620e-02,1.012013234636076064e-01,2.448292070773132323e-02,-1.003289479500306530e-01,1.325933912477450169e-02,-9.092737298889813332e-04,-3.399954306663865587e-04,-1.518736143232387236e-03,-7.942999618733712552e-04,4.454307121047219875e-02
1.040000000000000036e+00,0.000000000000000000e+00,-1.040927102738098409e-01,1.386058102537967782e-02,3.010287553953040707e+00,1.195080414742994909e-02,1.012187428011723095e-01,2.477508918789344747e-02,-1.003474380806099464e-01,1.325237959417191295e-02,-9.397842919268346341e-04,-3.559954397804707300e-04,-1.532225393236978260e-03,-8.056430653720373031e-04,4.645820456651204161e-02
1.060000000000000053e+00,0.000000000000000000e+00,-1.060998490396119209e-01,1.412555634028420971e-02,3.010383568650913499e+00,1.244912556311487083e-02,1.012367284391862965e-01,2.505501830770475585e-02,-1.003665410824968601e-01,1.324509781787296461e-02,-9.705589756752772785e-04,-3.722188473238108395e-04,-1.545149151232707565e-03,-8.166402749687576030e-04,4.839560244054721960e-02
1.080000000000000071e+00,0.000000000000000000e+00,-1.081073760374327147e-01,1.439038276043294075e-02,3.010483545497513624e+00,1.295292375367015740e-02,1.012552850424847800e-01,2.532277857827886641e-02,-1.003862621253615861e-01,1.323748939689990689e-02,-1.001586521457477298e-03,-3.886587636002204944e-04,-1.557512430897145268e-03,-8.272944074319924521e-04,5.035431762298337582e-02
1.100000000000000089e+00,0.000000000000000000e+00,-1.101153036779187466e-01,1.465505371008715349e-02,3.010587528724352424e+00,1.346195606243572908e-02,1.012744170782688274e-01,2.557844233916096999e-02,-1.004066061546827621e-01,1.322955006950616609e-02,-1.032855769710734877e-03,-4.053083551638723275e-04,-1.569320229965950062e-03,-8.376082710291583118e-04,5.233340848358643965e-02
1.120000000000000107e+00,0.000000000000000000e+00,-1.121236444684006323e-01,1.491956252963613089e-02,3.010695560757210121e+00,1.397598129805232084e-02,1.012941288180398414e-01,2.582208378502521412e-02,-1.004275778937459701e-01,1.322127571005296889e-02,-1.064355660667645493e-03,-4.221608446492779664e-04,-1.580577530232871392e-03,-8.475846655266311685e-04,5.433193911070095805e-02
1.140000000000000124e+00,0.000000000000000000e+00,-1.141324110084692839e-01,1.518390247830811793e-02,3.010807682228282101e+00,1.449475977180084314e-02,1.013144243395215777e-01,2.605377898877724030e-02,-1.004491818456368091e-01,1.321266232788946907e-02,-1.096075234037258714e-03,-4.392095106012643699e-04,-1.591289297549747933e-03,-8.572263821897425223e-04,5.634897945224637272e-02
1.159999999999999920e+00,0.000000000000000000e+00,-1.161416159855920838e-01,1.544806673685893486e-02,3.010923931988498392e+00,1.501805333536863213e-02,1.013353075285681054e-01,2.627360592112489360e-02,-1.004714222952273472e-01,1.320370606623624994e-02,-1.128003628686243508e-03,-4.564476873049559658e-04,-1.601460481826509977e-03,-8.665362037827824227e-04,5.838360545823115949e-02
1.179999999999999938e+00,0.000000000000000000e+00,-1.181512721707682484e-01,1.571204841023824544e-02,3.011044347120014120e+00,1.554562541897230692e-02,1.013567820810576947e-01,2.648164446667981495e-02,-1.004943033111556638e-01,1.319440320107220441e-02,-1.160130082320047799e-03,-4.738687646157524512e-04,-1.611096017031176612e-03,-8.755169045689990348e-04,6.043489922452700142e-02
1.199999999999999956e+00,0.000000000000000000e+00,-1.201613924142236611e-01,1.597584053023360512e-02,3.011168962948870043e+00,1.607724106976831518e-02,1.013788515047733679e-01,2.667797643665468371e-02,-1.005178287477997839e-01,1.318475014002481321e-02,-1.192443931164060417e-03,-4.914661877893078401e-04,-1.620200821189857459e-03,-8.841712503105973384e-04,6.250194913765061422e-02
1.219999999999999973e+00,0.000000000000000000e+00,-1.221719896411456174e-01,1.623943605809237758e-02,3.011297813057835615e+00,1.661266699048414078e-02,1.014015191212690459e-01,2.686268557822265798e-02,-1.005420022472446884e-01,1.317474342126387019e-02,-1.224934609644772604e-03,-5.092334573115090768e-04,-1.628779796386750287e-03,-8.925019982687398866e-04,6.458385002030848920e-02
1.239999999999999991e+00,0.000000000000000000e+00,-1.241830768474567748e-01,1.650282788712160303e-02,3.011430929299420800e+00,1.715167157820373517e-02,1.014247880677219965e-01,2.703585758060694441e-02,-1.005668272412434811e-01,1.316437971239858493e-02,-1.257591650070943217e-03,-5.271641287284577941e-04,-1.636837828764147297e-03,-9.005118972035475655e-04,6.667970327746214343e-02
1.260000000000000009e+00,0.000000000000000000e+00,-1.261946670956274885e-01,1.676600884526568275e-02,3.011568341809070404e+00,1.769402496324270699e-02,1.014486612987704206e-01,2.719758007796962279e-02,-1.005923069531714092e-01,1.315365580937803008e-02,-1.290404682314754163e-03,-5.452518124764453491e-04,-1.644379788522427324e-03,-9.082036873740978586e-04,6.878861704267970334e-02
1.280000000000000027e+00,0.000000000000000000e+00,-1.282067735105281714e-01,1.702897169766226862e-02,3.011710079018532937e+00,1.823949904804993138e-02,1.014731415883372845e-01,2.734794264917069992e-02,-1.006184443999740830e-01,1.314256863539506326e-02,-1.323363433492978202e-03,-5.634901737119357192e-04,-1.651410529920057995e-03,-9.155801005384260399e-04,7.090970632454325628e-02
1.300000000000000044e+00,0.000000000000000000e+00,-1.302194092753203303e-01,1.729170914917623272e-02,3.011856167669406226e+00,1.878786754607341888e-02,1.014982315314399558e-01,2.748703681446917554e-02,-1.006452423941094770e-01,1.313111523979367153e-02,-1.356457727648138290e-03,-5.818729321415431945e-04,-1.657934891273600293e-03,-9.226438599535250655e-04,7.304209315288694160e-02
